disturbance,h_scale,load_level,t_event,i_gentrip,seed,run_id,f_nadir_hz,f_zenith_hz,rocof_hz_s,settling_s,f_min_hz,f_max_hz,converged,runtime_s
islanding,0.6531466610905603,1.1246641339300376,1.2993558710476114,0,125,125,1.0997324838229119,0.8995745259789487,8.193749918835849,,58.90026751617709,60.89957452597895,True,54.159
islanding,0.8012460032669295,1.0274491212436905,1.2120377485333964,0,126,126,0.9708032748453235,3.5111296113588537,3.6121986434107356,,59.02919672515468,63.511129611358854,True,54.162
islanding,0.752933626961922,1.1601256951101229,2.4438502772347217,0,127,127,1.0085941964473264,3.569860107225203,9.086660053690494,,58.991405803552674,63.5698601072252,True,54.349
islanding,1.1153448804527208,0.9870487457764817,1.6872669046540938,0,128,128,0.7894713532749407,1.6284504174007424,3.0035708479193346,,59.21052864672506,61.62845041740074,True,53.979
islanding,1.4607181614112252,1.0290927463773625,1.524481224420277,0,129,129,0.663809005131931,1.5276045558698712,2.0441271581898235,,59.33619099486807,61.52760455586987,True,54.035
islanding,1.2573732852199337,0.9354924880065985,2.2931517758215882,0,130,130,0.9961407933282871,1.9162207739523467,8.655098495051377,,59.00385920667171,61.91622077395235,True,54.257
islanding,0.5226419583727516,0.835812245398655,2.541592304124273,0,131,131,2.5547301297898812,8.96804208361003,14.971142321551412,,57.44526987021012,68.96804208361003,True,54.198
islanding,0.7312600622074332,0.8132872268036757,2.6544197477936415,0,132,132,1.9828004007852016,3.5060424886364103,8.35054475656257,,58.0171995992148,63.50604248863641,True,53.618
islanding,1.3491589388149483,1.0997902137257363,1.4219245020762448,0,133,133,0.6988982968490305,1.4561040055640149,2.207036132818132,,59.30110170315097,61.456104005564015,True,53.872
islanding,1.0285918678449342,1.0489276770307923,1.0594056070615405,0,134,134,1.2005233937660051,2.2916451077291526,2.8587540138745737,,58.799476606233995,62.29164510772915,True,54.065
islanding,1.017752105580854,1.019806634630432,1.24173507959327,0,135,135,0.9071733230300367,1.6537392230593255,2.887497594584616,,59.09282667696996,61.653739223059326,True,54.407
islanding,1.427511044937873,0.8688201676355272,1.5371605946141123,0,136,136,0.6738064288913321,1.518414140309389,2.130197030751546,9.998,59.32619357110867,61.51841414030939,True,53.805
islanding,1.3008708340001873,0.9492340462602018,2.8350755807678256,0,137,137,1.053201187152439,3.5688241409028763,8.60601674209974,,58.94679881284756,63.568824140902876,True,53.969
islanding,0.6201128111831655,0.8963299740605076,0.8668791048663541,0,138,138,1.677393241580404,2.2517762992170702,4.5750311492921725,,58.322606758419596,62.25177629921707,True,53.786
islanding,1.2046741537605126,0.9312433918608128,1.9886308543414128,0,139,139,0.7516660873655354,1.7247572076876168,8.68972937110911,,59.248333912634465,61.72475720768762,True,54.104
islanding,0.6909998555785171,1.0665527670694621,1.1457968100457228,0,140,140,1.6463567288903533,2.28258544083004,4.142092933366328,9.976,58.35364327110965,62.28258544083004,True,54.0
islanding,1.4390385727157164,0.9576614193948612,1.5510160852164339,0,141,141,0.6702949049297828,1.5323245716260843,2.147155129087963,,59.32970509507022,61.532324571626084,True,54.134
islanding,0.6661878628144827,0.8549058225878501,0.972323209579598,0,142,142,2.05494991228187,2.821621492066896,4.283815626910794,,57.94505008771813,62.821621492066896,True,54.129
islanding,1.0332843946579005,1.0802689880388516,1.9641054121609278,0,143,143,0.8285648128391472,3.340991990287435,8.488075668270412,,59.17143518716085,63.340991990287435,True,54.276
islanding,1.1842434402267799,1.1338386565697671,1.721788734315602,0,144,144,0.75992305767722,1.3916409327106507,2.891304062292832,,59.24007694232278,61.39164093271065,True,53.939
islanding,0.9044770978826342,0.9435332315356688,1.8370114769044616,0,145,145,1.428233989529332,2.6296345121192957,7.890430127690777,,58.57176601047067,62.629634512119296,True,54.102
islanding,0.6193280041008589,0.8634339609654661,2.2009495288322336,0,146,146,1.7857723311284133,5.307425624328573,13.462998467786633,,58.21422766887159,65.30742562432857,True,54.137
islanding,0.8345171754425194,0.8209224792242695,1.1663447222611039,0,147,147,1.7182553648926415,2.808769499656485,3.4780745977332828,,58.28174463510736,62.808769499656485,True,54.219
islanding,1.1746768217623702,1.0600691008398033,1.7959265891489191,0,148,148,0.7638646072893351,1.3532187752027198,5.155887018768013,,59.236135392710665,61.35321877520272,True,53.588
islanding,1.491333547413257,0.9231514855349665,1.4507298858378226,0,149,149,0.6549002449715289,1.5654329179638964,2.00348723916953,,59.34509975502847,61.565432917963896,True,53.598
islanding,1.1312255427250173,0.9368643125498497,0.9242518897049536,0,150,150,0.7824157443870519,2.584798977462029,2.61231565057102,,59.21758425561295,62.58479897746203,True,53.864
islanding,1.417730244752356,0.9986901577338889,1.0121613923495518,0,151,151,0.6768207809910294,2.2255346813175123,2.104014337447211,9.992,59.32317921900897,62.22553468131751,True,54.14
islanding,1.26148981935709,0.97998289056887,2.7784789250152166,0,152,152,1.0020826634554325,3.709724181610838,8.65124796780215,,58.99791733654457,63.70972418161084,True,53.874
